BACKTEST SUMMARY
Pair,R_100
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,64
Win Rate,53.1%
Profit Factor,1.17
Total PnL (pips),209.88

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-01-17 20:00:00+00:00,BUY,A+,1102.57000,1054.15034,1150.98966,1199.40931,2026-01-18 12:00:00+00:00,1054.15034,SL,-48.42
2026-01-18 12:00:00+00:00,BUY,A+,1035.66000,984.90378,1086.41622,1137.17245,2026-01-18 20:00:00+00:00,1086.41622,TP1,50.76
2026-01-19 04:00:00+00:00,BUY,A+,1077.02000,1026.33845,1127.70155,1178.38310,2026-01-19 20:00:00+00:00,1127.70155,TP1,50.68
2026-01-19 20:00:00+00:00,BUY,A+,1119.27000,1067.40393,1171.13607,1223.00213,2026-01-20 08:00:00+00:00,1067.40393,SL,-51.87
2026-01-20 12:00:00+00:00,BUY,A+,1071.24000,1021.48585,1120.99415,1170.74831,2026-01-21 16:00:00+00:00,1120.99415,TP1,49.75
2026-01-21 16:00:00+00:00,BUY,A+,1127.71000,1075.13168,1180.28832,1232.86663,2026-01-22 12:00:00+00:00,1075.13168,SL,-52.58
2026-01-22 12:00:00+00:00,BUY,A+,1061.25000,1006.64817,1115.85183,1170.45366,2026-01-23 00:00:00+00:00,1115.85183,TP1,54.60
2026-01-23 04:00:00+00:00,BUY,A+,1121.74000,1066.63491,1176.84509,1231.95019,2026-01-23 16:00:00+00:00,1066.63491,SL,-55.11
2026-01-23 20:00:00+00:00,BUY,A+,1127.02000,1070.87836,1183.16164,1239.30327,2026-01-25 08:00:00+00:00,1183.16164,TP1,56.14
2026-01-25 16:00:00+00:00,BUY,A+,1154.92000,1101.01296,1208.82704,1262.73409,2026-01-26 00:00:00+00:00,1101.01296,SL,-53.91
2026-01-26 08:00:00+00:00,BUY,A+,1089.86000,1030.60888,1149.11112,1208.36225,2026-01-26 16:00:00+00:00,1149.11112,TP1,59.25
2026-01-27 00:00:00+00:00,BUY,A+,1113.16000,1051.24510,1175.07490,1236.98979,2026-02-01 08:00:00+00:00,1051.24510,SL,-61.91
2026-02-04 08:00:00+00:00,BUY,A+,1128.87000,1074.53627,1183.20373,1237.53746,2026-02-05 08:00:00+00:00,1074.53627,SL,-54.33
2026-02-05 08:00:00+00:00,BUY,A+,1084.49000,1028.23608,1140.74392,1196.99784,2026-02-08 12:00:00+00:00,1140.74392,TP1,56.25
2026-02-08 20:00:00+00:00,BUY,A+,1107.84000,1056.21171,1159.46829,1211.09658,2026-02-09 16:00:00+00:00,1056.21171,SL,-51.63
2026-02-09 16:00:00+00:00,BUY,A+,1055.80000,1003.58956,1108.01044,1160.22089,2026-02-10 20:00:00+00:00,1003.58956,SL,-52.21
2026-02-15 16:00:00+00:00,SELL,A+,971.17000,1024.62872,917.71128,864.25256,2026-02-16 08:00:00+00:00,917.71128,TP1,53.46
2026-02-18 16:00:00+00:00,SELL,A+,882.92000,932.44579,833.39421,783.86842,2026-02-19 04:00:00+00:00,833.39421,TP1,49.53
2026-02-19 16:00:00+00:00,SELL,A+,849.14000,895.35527,802.92473,756.70945,2026-02-20 00:00:00+00:00,895.35527,SL,-46.22
2026-02-20 08:00:00+00:00,SELL,A+,911.18000,956.94867,865.41133,819.64266,2026-02-21 08:00:00+00:00,865.41133,TP1,45.77
2026-02-21 08:00:00+00:00,SELL,A+,880.54000,925.11591,835.96409,791.38818,2026-02-22 16:00:00+00:00,835.96409,TP1,44.58
2026-02-23 20:00:00+00:00,SELL,A+,827.89000,867.09396,788.68604,749.48208,2026-02-24 00:00:00+00:00,788.68604,TP1,39.20
2026-02-24 12:00:00+00:00,SELL,A+,832.76000,876.62911,788.89089,745.02178,2026-02-25 12:00:00+00:00,876.62911,SL,-43.87
2026-02-25 12:00:00+00:00,SELL,A+,863.55000,905.71391,821.38609,779.22218,2026-02-27 00:00:00+00:00,821.38609,TP1,42.16
2026-02-27 00:00:00+00:00,SELL,A+,825.08000,867.09583,783.06417,741.04833,2026-03-02 00:00:00+00:00,867.09583,SL,-42.02
2026-03-02 04:00:00+00:00,SELL,A+,852.14000,893.85239,810.42761,768.71521,2026-03-02 16:00:00+00:00,810.42761,TP1,41.71
2026-03-02 20:00:00+00:00,SELL,A+,800.65000,842.22944,759.07056,717.49111,2026-03-03 16:00:00+00:00,759.07056,TP1,41.58
2026-03-03 20:00:00+00:00,SELL,A+,780.14000,822.71789,737.56211,694.98421,2026-03-04 08:00:00+00:00,822.71789,SL,-42.58
2026-03-04 12:00:00+00:00,SELL,A+,801.85000,845.16314,758.53686,715.22372,2026-03-07 00:00:00+00:00,758.53686,TP1,43.31
2026-03-07 08:00:00+00:00,SELL,A+,759.34000,798.45385,720.22615,681.11229,2026-03-08 00:00:00+00:00,720.22615,TP1,39.11
2026-03-12 08:00:00+00:00,SELL,A+,642.28000,675.07668,609.48332,576.68663,2026-03-12 20:00:00+00:00,609.48332,TP1,32.80
2026-03-14 20:00:00+00:00,SELL,A+,606.82000,636.90360,576.73640,546.65280,2026-03-15 08:00:00+00:00,618.04000,OPEN,-11.22
